Assembly	SRR11695911_scaffolds
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29250
Total length (>= 1000 bp)	28199
Total length (>= 5000 bp)	25441
Total length (>= 10000 bp)	10927
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	10927
Total length	28750
Reference length	29903
GC (%)	37.97
Reference GC (%)	37.97
N50	8599
NG50	8599
N75	5915
NG75	5915
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.064
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	24.37
# indels per 100 kbp	3.48
# genomic features	32 + 17 part
Largest alignment	10927
Total aligned length	28750
NA50	8599
NGA50	8599
NA75	5915
NGA75	5915
LA50	2
LGA50	2
LA75	3
LGA75	3
