Assembly	SRR11577932_scaffolds
# contigs (>= 0 bp)	9
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29601
Total length (>= 1000 bp)	29421
Total length (>= 5000 bp)	26649
Total length (>= 10000 bp)	19319
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19319
Total length	29421
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	19319
NG50	19319
N75	7330
NG75	7330
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.385
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.39
# indels per 100 kbp	3.40
# genomic features	40 + 9 part
Largest alignment	19319
Total aligned length	29421
NA50	19319
NGA50	19319
NA75	7330
NGA75	7330
LA50	1
LGA50	1
LA75	2
LGA75	2
