Assembly	Scaffolds
# contigs (>= 0 bp)	1753
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	348245
Total length (>= 1000 bp)	15201
Total length (>= 5000 bp)	15201
Total length (>= 10000 bp)	15201
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	15201
Total length	16793
Reference length	29903
GC (%)	39.58
Reference GC (%)	37.97
N50	15201
NG50	15201
N75	15201
L50	1
LG50	1
L75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	2 + 0 part
Unaligned length	1592
Genome fraction (%)	50.828
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	46.06
# indels per 100 kbp	26.32
# genomic features	4 + 5 part
Largest alignment	15201
Total aligned length	15201
NA50	15201
NGA50	15201
NA75	15201
LA50	1
LGA50	1
LA75	1
