Assembly	SRR11494696_scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29808
Total length (>= 1000 bp)	29553
Total length (>= 5000 bp)	29553
Total length (>= 10000 bp)	24278
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	24278
Total length	29553
Reference length	29903
GC (%)	38.00
Reference GC (%)	37.97
N50	24278
NG50	24278
N75	24278
NG75	24278
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.830
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.30
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	24278
Total aligned length	29553
NA50	24278
NGA50	24278
NA75	24278
NGA75	24278
LA50	1
LGA50	1
LA75	1
LGA75	1
