Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30360
Total length (>= 1000 bp)	30360
Total length (>= 5000 bp)	22024
Total length (>= 10000 bp)	14665
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	14665
Total length	30360
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	7359
NG50	7359
N75	4007
NG75	4007
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.151
Duplication ratio	1.067
# N's per 100 kbp	0.00
# mismatches per 100 kbp	45.69
# indels per 100 kbp	28.12
# genomic features	32 + 13 part
Largest alignment	14665
Total aligned length	30359
NA50	7359
NGA50	7359
NA75	4006
NGA75	4006
LA50	2
LGA50	2
LA75	3
LGA75	3
