Assembly	SRR11622180_scaffolds
# contigs (>= 0 bp)	17
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29857
Total length (>= 1000 bp)	25483
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	4801
Total length	28056
Reference length	29903
GC (%)	37.91
Reference GC (%)	37.97
N50	4586
NG50	4048
N75	2998
NG75	2492
L50	3
LG50	4
L75	5
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.951
Duplication ratio	1.020
# N's per 100 kbp	794.84
# mismatches per 100 kbp	18.18
# indels per 100 kbp	0.00
# genomic features	28 + 17 part
Largest alignment	4801
Total aligned length	27833
NA50	4586
NGA50	4048
NA75	2998
NGA75	2269
LA50	3
LGA50	4
LA75	5
LGA75	6
