Assembly	SRR11494462_scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30037
Total length (>= 1000 bp)	30037
Total length (>= 5000 bp)	30037
Total length (>= 10000 bp)	23916
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	23916
Total length	30037
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	23916
NG50	23916
N75	23916
NG75	23916
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.726
Duplication ratio	1.007
# N's per 100 kbp	166.46
# mismatches per 100 kbp	30.18
# indels per 100 kbp	3.35
# genomic features	36 + 13 part
Largest alignment	23846
Total aligned length	29910
NA50	23846
NGA50	23846
NA75	23846
NGA75	23846
LA50	1
LGA50	1
LA75	1
LGA75	1
