Assembly	SRR11695911_scaffolds
# contigs (>= 0 bp)	17
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29719
Total length (>= 1000 bp)	25258
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	4737
Total length	29000
Reference length	29903
GC (%)	38.02
Reference GC (%)	37.97
N50	2863
NG50	2863
N75	1326
NG75	1326
L50	4
LG50	4
L75	8
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.228
Duplication ratio	1.018
# N's per 100 kbp	172.41
# mismatches per 100 kbp	24.58
# indels per 100 kbp	0.00
# genomic features	24 + 21 part
Largest alignment	4737
Total aligned length	28950
NA50	2813
NGA50	2813
NA75	1326
NGA75	1326
LA50	4
LGA50	4
LA75	8
LGA75	8
