Assembly	scaffolds
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33601
Total length (>= 1000 bp)	32771
Total length (>= 5000 bp)	29864
Total length (>= 10000 bp)	29864
Total length (>= 25000 bp)	29864
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	29864
Total length	32771
Reference length	29903
GC (%)	38.35
Reference GC (%)	37.97
N50	29864
NG50	29864
N75	29864
NG75	29864
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.816
Duplication ratio	1.098
# N's per 100 kbp	0.00
# mismatches per 100 kbp	13.40
# indels per 100 kbp	3.35
# genomic features	48 + 1 part
Largest alignment	29825
Total aligned length	32697
NA50	29825
NGA50	29825
NA75	29825
NGA75	29825
LA50	1
LGA50	1
LA75	1
LGA75	1
