Assembly	Scaffolds
# contigs (>= 0 bp)	168
# contigs (>= 1000 bp)	13
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	74824
Total length (>= 1000 bp)	31109
Total length (>= 5000 bp)	6013
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	6013
Total length	35000
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	2344
NG50	2625
N75	1430
NG75	1880
L50	5
LG50	4
L75	10
LG75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	3 + 0 part
Unaligned length	1586
Genome fraction (%)	93.917
Duplication ratio	1.190
# N's per 100 kbp	0.00
# mismatches per 100 kbp	56.97
# indels per 100 kbp	89.02
# genomic features	28 + 17 part
Largest alignment	6013
Total aligned length	33413
NA50	2344
NGA50	2625
NA75	1430
NGA75	1880
LA50	5
LGA50	4
LA75	10
LGA75	7
