Assembly	Scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30766
Total length (>= 1000 bp)	30766
Total length (>= 5000 bp)	30766
Total length (>= 10000 bp)	30766
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	20604
Total length	30766
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	20604
NG50	20604
N75	10162
NG75	10162
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	10162
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.819
Duplication ratio	1.031
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.50
# indels per 100 kbp	3.35
# genomic features	44 + 5 part
Largest alignment	20604
Total aligned length	30766
NA50	20604
NGA50	20604
NA75	9884
NGA75	9884
LA50	1
LGA50	1
LA75	2
LGA75	2
