Assembly	Scaffolds
# contigs (>= 0 bp)	266
# contigs (>= 1000 bp)	14
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	81135
Total length (>= 1000 bp)	31312
Total length (>= 5000 bp)	7866
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	32
Largest contig	7866
Total length	44381
Reference length	29903
GC (%)	44.32
Reference GC (%)	37.97
N50	1926
NG50	2291
N75	802
NG75	1926
L50	8
LG50	4
L75	17
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	20 + 0 part
Unaligned length	19050
Genome fraction (%)	83.059
Duplication ratio	1.020
# N's per 100 kbp	135.19
# mismatches per 100 kbp	44.29
# indels per 100 kbp	16.11
# genomic features	16 + 25 part
Largest alignment	7866
Total aligned length	25271
NA50	1161
NGA50	2291
NGA75	802
LA50	8
LGA50	4
LGA75	9
