Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27796
Total length (>= 1000 bp)	27240
Total length (>= 5000 bp)	24079
Total length (>= 10000 bp)	17343
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	17343
Total length	27240
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	17343
NG50	17343
N75	6736
NG75	6736
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.804
Duplication ratio	1.014
# N's per 100 kbp	1417.03
# mismatches per 100 kbp	33.51
# indels per 100 kbp	3.72
# genomic features	36 + 13 part
Largest alignment	16956
Total aligned length	26853
NA50	16956
NGA50	16956
NA75	6736
NGA75	6736
LA50	1
LGA50	1
LA75	2
LGA75	2
