Assembly	SRR11828432_scaffolds
# contigs (>= 0 bp)	26
# contigs (>= 1000 bp)	0
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	11136
Total length (>= 1000 bp)	0
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	995
Total length	2931
Reference length	29903
GC (%)	45.62
Reference GC (%)	37.97
N50	672
N75	667
L50	2
L75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	2 + 0 part
Unaligned length	1592
Genome fraction (%)	4.478
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	74.68
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	672
Total aligned length	1339
NGA50	-
