Assembly	Scaffolds
# contigs (>= 0 bp)	15
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27665
Total length (>= 1000 bp)	25747
Total length (>= 5000 bp)	5629
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	5629
Total length	27517
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	2466
NG50	2466
N75	1489
NG75	1335
L50	4
LG50	4
L75	7
LG75	9
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	3580
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	88.677
Duplication ratio	1.038
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.71
# indels per 100 kbp	18.86
# genomic features	24 + 21 part
Largest alignment	5629
Total aligned length	27506
NA50	2466
NGA50	2466
NA75	1379
NGA75	1324
LA50	4
LGA50	4
LA75	8
LGA75	9
