Assembly	Scaffolds
# contigs (>= 0 bp)	115
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	44434
Total length (>= 1000 bp)	30388
Total length (>= 5000 bp)	30388
Total length (>= 10000 bp)	23796
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	23796
Total length	30388
Reference length	29903
GC (%)	37.92
Reference GC (%)	37.97
N50	23796
NG50	23796
N75	23796
NG75	23796
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.863
Duplication ratio	1.038
# N's per 100 kbp	0.00
# mismatches per 100 kbp	41.01
# indels per 100 kbp	3.42
# genomic features	32 + 9 part
Largest alignment	23789
Total aligned length	30381
NA50	23789
NGA50	23789
NA75	23789
NGA75	23789
LA50	1
LGA50	1
LA75	1
LGA75	1
