Assembly	SRR12045933_scaffolds
# contigs (>= 0 bp)	63
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	39544
Total length (>= 1000 bp)	23571
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	21
Largest contig	2773
Total length	30352
Reference length	29903
GC (%)	41.15
Reference GC (%)	37.97
N50	1816
NG50	1816
N75	1582
NG75	1582
L50	7
LG50	7
L75	12
LG75	12
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	897
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	5 + 0 part
Unaligned length	4707
Genome fraction (%)	84.430
Duplication ratio	1.016
# N's per 100 kbp	0.00
# mismatches per 100 kbp	19.80
# indels per 100 kbp	3.96
# genomic features	16 + 25 part
Largest alignment	2773
Total aligned length	25609
NA50	1816
NGA50	1816
NA75	829
NGA75	829
LA50	7
LGA50	7
LA75	12
LGA75	12
