Assembly	Scaffolds
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27007
Total length (>= 1000 bp)	25889
Total length (>= 5000 bp)	25889
Total length (>= 10000 bp)	25889
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	14793
Total length	25889
Reference length	29903
GC (%)	37.74
Reference GC (%)	37.97
N50	14793
NG50	11096
N75	11096
NG75	11096
L50	1
LG50	2
L75	2
LG75	2
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	25889
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	80.775
Duplication ratio	1.072
# N's per 100 kbp	181.54
# mismatches per 100 kbp	24.84
# indels per 100 kbp	28.98
# genomic features	40 + 9 part
Largest alignment	13824
Total aligned length	25842
NA50	13824
NGA50	10355
NA75	10355
NGA75	10355
LA50	1
LGA50	2
LA75	2
LGA75	2
