Assembly	SRR11578294_scaffolds
# contigs (>= 0 bp)	63
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28585
Total length (>= 1000 bp)	11416
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	19
Largest contig	2973
Total length	21307
Reference length	29903
GC (%)	38.25
Reference GC (%)	37.97
N50	1140
NG50	934
N75	867
L50	6
LG50	10
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	71.110
Duplication ratio	1.002
# N's per 100 kbp	0.00
# mismatches per 100 kbp	32.92
# indels per 100 kbp	4.70
# genomic features	16 + 29 part
Largest alignment	2973
Total aligned length	21293
NA50	1140
NGA50	934
NA75	867
LA50	6
LGA50	10
LA75	11
