Assembly	Scaffolds
# contigs (>= 0 bp)	9
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	27567
Total length (>= 1000 bp)	27175
Total length (>= 5000 bp)	12960
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	6512
Total length	27175
Reference length	29903
GC (%)	37.77
Reference GC (%)	37.97
N50	4739
NG50	4739
N75	2554
NG75	2554
L50	3
LG50	3
L75	5
LG75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	81.290
Duplication ratio	1.118
# N's per 100 kbp	0.00
# mismatches per 100 kbp	24.68
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	6488
Total aligned length	27130
NA50	4738
NGA50	4738
NA75	2554
NGA75	2554
LA50	3
LGA50	3
LA75	5
LGA75	5
