Assembly	SRR11827006_scaffolds
# contigs (>= 0 bp)	19
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	34927
Total length (>= 1000 bp)	34193
Total length (>= 5000 bp)	29758
Total length (>= 10000 bp)	23047
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	23047
Total length	34193
Reference length	29903
GC (%)	37.70
Reference GC (%)	37.97
N50	23047
NG50	23047
N75	6711
NG75	23047
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.850
Duplication ratio	1.157
# N's per 100 kbp	149.15
# mismatches per 100 kbp	30.45
# indels per 100 kbp	0.00
# genomic features	44 + 5 part
Largest alignment	22996
Total aligned length	34142
NA50	22996
NGA50	22996
NA75	6711
NGA75	22996
LA50	1
LGA50	1
LA75	2
LGA75	1
