Assembly	SRR11597182_scaffolds
# contigs (>= 0 bp)	2642
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	299416
Total length (>= 1000 bp)	14776
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	3364
Total length	17298
Reference length	29903
GC (%)	37.89
Reference GC (%)	37.97
N50	1533
NG50	817
N75	1063
L50	4
LG50	10
L75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	24
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	29.020
Duplication ratio	1.993
# N's per 100 kbp	51034.80
# mismatches per 100 kbp	11.52
# indels per 100 kbp	161.33
# genomic features	0 + 25 part
Largest alignment	1232
Total aligned length	8831
NA50	307
NGA50	-
LA50	13
