Assembly	Scaffolds
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30636
Total length (>= 1000 bp)	29815
Total length (>= 5000 bp)	28449
Total length (>= 10000 bp)	21713
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	21713
Total length	30636
Reference length	29903
GC (%)	37.94
Reference GC (%)	37.97
N50	21713
NG50	21713
N75	6736
NG75	6736
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.722
Duplication ratio	1.027
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.47
# indels per 100 kbp	3.35
# genomic features	44 + 5 part
Largest alignment	21713
Total aligned length	30636
NA50	21713
NGA50	21713
NA75	6736
NGA75	6736
LA50	1
LGA50	1
LA75	2
LGA75	2
