Assembly	scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29802
Total length (>= 1000 bp)	29802
Total length (>= 5000 bp)	29802
Total length (>= 10000 bp)	29802
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19442
Total length	29802
Reference length	29903
GC (%)	37.98
Reference GC (%)	37.97
N50	19442
NG50	19442
N75	10360
NG75	10360
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.408
Duplication ratio	1.003
# N's per 100 kbp	0.00
# mismatches per 100 kbp	20.18
# indels per 100 kbp	3.36
# genomic features	44 + 5 part
Largest alignment	19418
Total aligned length	29725
NA50	19418
NGA50	19418
NA75	10307
NGA75	10307
LA50	1
LGA50	1
LA75	2
LGA75	2
