Assembly	Scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	41827
Total length (>= 1000 bp)	41293
Total length (>= 5000 bp)	41293
Total length (>= 10000 bp)	41293
Total length (>= 25000 bp)	29845
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	29845
Total length	41293
Reference length	29903
GC (%)	38.44
Reference GC (%)	37.97
N50	29845
NG50	29845
N75	11448
NG75	29845
L50	1
LG50	1
L75	2
LG75	1
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	11448
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.806
Duplication ratio	1.384
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.21
# indels per 100 kbp	0.00
# genomic features	48 + 1 part
Largest alignment	29845
Total aligned length	41293
NA50	29845
NGA50	29845
NA75	5734
NGA75	29845
LA50	1
LGA50	1
LA75	2
LGA75	1
