Assembly	scaffolds
# contigs (>= 0 bp)	14
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28468
Total length (>= 1000 bp)	25937
Total length (>= 5000 bp)	12729
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	9
Largest contig	6466
Total length	26886
Reference length	29903
GC (%)	38.13
Reference GC (%)	37.97
N50	3638
NG50	3638
N75	2308
NG75	1662
L50	3
LG50	3
L75	5
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.265
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	29.97
# indels per 100 kbp	0.00
# genomic features	28 + 17 part
Largest alignment	6466
Total aligned length	26693
NA50	3585
NGA50	3585
NA75	2308
NGA75	1642
LA50	3
LGA50	3
LA75	5
LGA75	6
