Assembly	Scaffolds
# contigs (>= 0 bp)	37
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	39935
Total length (>= 1000 bp)	35644
Total length (>= 5000 bp)	35644
Total length (>= 10000 bp)	35644
Total length (>= 25000 bp)	35644
Total length (>= 50000 bp)	0
# contigs	1
Largest contig	35644
Total length	35644
Reference length	29903
GC (%)	38.37
Reference GC (%)	37.97
N50	35644
NG50	35644
N75	35644
NG75	35644
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	3
# misassembled contigs	1
Misassembled contigs length	35644
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.799
Duplication ratio	1.194
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.21
# indels per 100 kbp	3.35
# genomic features	48 + 1 part
Largest alignment	29842
Total aligned length	35644
NA50	29842
NGA50	29842
NA75	29842
NGA75	29842
LA50	1
LGA50	1
LA75	1
LGA75	1
