Assembly	scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29869
Total length (>= 1000 bp)	29869
Total length (>= 5000 bp)	26140
Total length (>= 10000 bp)	26140
Total length (>= 25000 bp)	26140
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	26140
Total length	29869
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	26140
NG50	26140
N75	26140
NG75	26140
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.401
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.64
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	26095
Total aligned length	29724
NA50	26095
NGA50	26095
NA75	26095
NGA75	26095
LA50	1
LGA50	1
LA75	1
LGA75	1
