Assembly	Scaffolds
# contigs (>= 0 bp)	904
# contigs (>= 1000 bp)	27
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	207656
Total length (>= 1000 bp)	52421
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	56
Largest contig	4384
Total length	71979
Reference length	29903
GC (%)	45.60
Reference GC (%)	37.97
N50	1739
NG50	2904
N75	948
NG75	2604
L50	14
LG50	5
L75	29
LG75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	45 + 0 part
Unaligned length	44235
Genome fraction (%)	90.115
Duplication ratio	1.030
# N's per 100 kbp	1066.98
# mismatches per 100 kbp	55.66
# indels per 100 kbp	7.42
# genomic features	24 + 21 part
Largest alignment	4017
Total aligned length	26971
NGA50	2604
NGA75	1973
LGA50	5
LGA75	8
