Assembly	Scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28958
Total length (>= 1000 bp)	28353
Total length (>= 5000 bp)	27011
Total length (>= 10000 bp)	12547
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	12547
Total length	28353
Reference length	29903
GC (%)	37.85
Reference GC (%)	37.97
N50	7733
NG50	7733
N75	6731
NG75	6731
L50	2
LG50	2
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	92.606
Duplication ratio	1.024
# N's per 100 kbp	0.00
# mismatches per 100 kbp	36.11
# indels per 100 kbp	3.61
# genomic features	36 + 13 part
Largest alignment	12528
Total aligned length	28331
NA50	7730
NGA50	7730
NA75	6731
NGA75	6731
LA50	2
LGA50	2
LA75	3
LGA75	3
