Assembly	SRR12162380_scaffolds
# contigs (>= 0 bp)	7
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29468
Total length (>= 1000 bp)	28795
Total length (>= 5000 bp)	28795
Total length (>= 10000 bp)	22279
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	22279
Total length	29341
Reference length	29903
GC (%)	37.90
Reference GC (%)	37.97
N50	22279
NG50	22279
N75	22279
NG75	6516
L50	1
LG50	1
L75	1
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.117
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	44.31
# indels per 100 kbp	3.41
# genomic features	40 + 9 part
Largest alignment	22279
Total aligned length	29341
NA50	22279
NGA50	22279
NA75	22279
NGA75	6516
LA50	1
LGA50	1
LA75	1
LGA75	2
