Assembly	SRR11578032_scaffolds
# contigs (>= 0 bp)	101
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35257
Total length (>= 1000 bp)	7621
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	15
Largest contig	1475
Total length	13843
Reference length	29903
GC (%)	38.65
Reference GC (%)	37.97
N50	1018
N75	680
L50	6
L75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	45.882
Duplication ratio	1.009
# N's per 100 kbp	0.00
# mismatches per 100 kbp	14.58
# indels per 100 kbp	0.00
# genomic features	8 + 21 part
Largest alignment	1475
Total aligned length	13843
NA50	1018
NGA50	-
NA75	680
LA50	6
LA75	10
