Assembly	Scaffolds
# contigs (>= 0 bp)	23
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29332
Total length (>= 1000 bp)	23005
Total length (>= 5000 bp)	5041
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	14
Largest contig	5041
Total length	26560
Reference length	29903
GC (%)	37.80
Reference GC (%)	37.97
N50	2686
NG50	2686
N75	1091
NG75	1029
L50	4
LG50	4
L75	8
LG75	10
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	85.149
Duplication ratio	1.043
# N's per 100 kbp	0.00
# mismatches per 100 kbp	94.26
# indels per 100 kbp	23.56
# genomic features	28 + 17 part
Largest alignment	5041
Total aligned length	26493
NA50	2686
NGA50	2686
NA75	1091
NGA75	1029
LA50	4
LGA50	4
LA75	8
LGA75	10
