Assembly	Scaffolds
# contigs (>= 0 bp)	176
# contigs (>= 1000 bp)	12
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	71657
Total length (>= 1000 bp)	26329
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	23
Largest contig	4344
Total length	33613
Reference length	29903
GC (%)	38.66
Reference GC (%)	37.97
N50	1670
NG50	1754
N75	1228
NG75	1355
L50	6
LG50	5
L75	11
LG75	9
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	5 + 0 part
Unaligned length	2684
Genome fraction (%)	91.914
Duplication ratio	1.125
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.02
# indels per 100 kbp	65.49
# genomic features	32 + 17 part
Largest alignment	4344
Total aligned length	30927
NA50	1670
NGA50	1754
NA75	1228
NGA75	1355
LA50	6
LGA50	5
LA75	11
LGA75	9
