Assembly	Scaffolds
# contigs (>= 0 bp)	32
# contigs (>= 1000 bp)	14
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	35390
Total length (>= 1000 bp)	25652
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	25
Largest contig	3344
Total length	33041
Reference length	29903
GC (%)	37.61
Reference GC (%)	37.97
N50	1714
NG50	1714
N75	1111
NG75	1190
L50	7
LG50	7
L75	14
LG75	12
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	2
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	88.162
Duplication ratio	1.253
# N's per 100 kbp	532.67
# mismatches per 100 kbp	15.17
# indels per 100 kbp	0.00
# genomic features	20 + 25 part
Largest alignment	3240
Total aligned length	32861
NA50	1627
NGA50	1713
NA75	1111
NGA75	1190
LA50	8
LGA50	7
LA75	14
LGA75	12
