Assembly	SRR12045933_scaffolds
# contigs (>= 0 bp)	64
# contigs (>= 1000 bp)	9
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	38202
Total length (>= 1000 bp)	24290
Total length (>= 5000 bp)	5747
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	5747
Total length	30714
Reference length	29903
GC (%)	40.94
Reference GC (%)	37.97
N50	2160
NG50	2160
N75	1513
NG75	1582
L50	4
LG50	4
L75	9
LG75	8
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	5 + 0 part
Unaligned length	4610
Genome fraction (%)	84.583
Duplication ratio	1.032
# N's per 100 kbp	325.58
# mismatches per 100 kbp	23.72
# indels per 100 kbp	7.91
# genomic features	24 + 21 part
Largest alignment	5697
Total aligned length	26052
NA50	2160
NGA50	2160
NA75	979
NGA75	1513
LA50	4
LGA50	4
LA75	9
LGA75	8
