Assembly	Scaffolds
# contigs (>= 0 bp)	12
# contigs (>= 1000 bp)	10
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32591
Total length (>= 1000 bp)	31751
Total length (>= 5000 bp)	12410
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	6351
Total length	32279
Reference length	29903
GC (%)	37.91
Reference GC (%)	37.97
N50	3764
NG50	3764
N75	2390
NG75	2390
L50	3
LG50	3
L75	6
LG75	6
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	2123
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	3
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.178
Duplication ratio	1.111
# N's per 100 kbp	1536.60
# mismatches per 100 kbp	72.27
# indels per 100 kbp	3.44
# genomic features	24 + 25 part
Largest alignment	6351
Total aligned length	31782
NA50	3265
NGA50	3764
NA75	2389
NGA75	2389
LA50	4
LGA50	3
LA75	6
LGA75	6
