Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29529
Total length (>= 1000 bp)	29298
Total length (>= 5000 bp)	26850
Total length (>= 10000 bp)	19458
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	19458
Total length	29298
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	19458
NG50	19458
N75	7392
NG75	7392
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	1
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.295
Duplication ratio	1.007
# N's per 100 kbp	689.47
# mismatches per 100 kbp	34.37
# indels per 100 kbp	6.87
# genomic features	40 + 9 part
Largest alignment	19256
Total aligned length	29096
NA50	19256
NGA50	19256
NA75	7392
NGA75	7392
LA50	1
LGA50	1
LA75	2
LGA75	2
