Assembly	SRR11915884_scaffolds
# contigs (>= 0 bp)	35
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25681
Total length (>= 1000 bp)	13129
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	3581
Total length	21845
Reference length	29903
GC (%)	38.08
Reference GC (%)	37.97
N50	1581
NG50	974
N75	924
L50	5
LG50	9
L75	11
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	72.237
Duplication ratio	1.011
# N's per 100 kbp	228.89
# mismatches per 100 kbp	27.78
# indels per 100 kbp	13.89
# genomic features	20 + 21 part
Largest alignment	3581
Total aligned length	21845
NA50	1581
NGA50	974
NA75	924
LA50	5
LGA50	9
LA75	11
