Assembly	scaffolds
# contigs (>= 0 bp)	4
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29683
Total length (>= 1000 bp)	29085
Total length (>= 5000 bp)	29085
Total length (>= 10000 bp)	14757
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	14757
Total length	29683
Reference length	29903
GC (%)	37.90
Reference GC (%)	37.97
N50	7645
NG50	7645
N75	7645
NG75	6683
L50	2
LG50	2
L75	2
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.726
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	23.71
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	14703
Total aligned length	29577
NA50	7645
NGA50	7645
NA75	7645
NGA75	6683
LA50	2
LGA50	2
LA75	2
LGA75	3
