Assembly	SRR11494696_scaffolds
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30716
Total length (>= 1000 bp)	24733
Total length (>= 5000 bp)	17331
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	6352
Total length	29557
Reference length	29903
GC (%)	38.06
Reference GC (%)	37.97
N50	5454
NG50	5454
N75	1539
NG75	1539
L50	3
LG50	3
L75	6
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	96.693
Duplication ratio	1.022
# N's per 100 kbp	3.38
# mismatches per 100 kbp	20.75
# indels per 100 kbp	0.00
# genomic features	32 + 13 part
Largest alignment	6352
Total aligned length	29539
NA50	5436
NGA50	5436
NA75	1539
NGA75	1539
LA50	3
LGA50	3
LA75	6
LGA75	6
