Assembly	SRR12162329_scaffolds
# contigs (>= 0 bp)	39
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	25343
Total length (>= 1000 bp)	7351
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	20
Largest contig	2054
Total length	18264
Reference length	29903
GC (%)	38.11
Reference GC (%)	37.97
N50	952
NG50	681
N75	682
L50	7
LG50	15
L75	14
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	60.134
Duplication ratio	1.016
# N's per 100 kbp	0.00
# mismatches per 100 kbp	27.81
# indels per 100 kbp	0.00
# genomic features	12 + 17 part
Largest alignment	2054
Total aligned length	18264
NA50	952
NGA50	681
NA75	682
LA50	7
LGA50	15
LA75	14
