Assembly	SRR12045921_scaffolds
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30457
Total length (>= 1000 bp)	29654
Total length (>= 5000 bp)	26867
Total length (>= 10000 bp)	19288
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19288
Total length	29654
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	19288
NG50	19288
N75	7579
NG75	7579
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.823
Duplication ratio	1.003
# N's per 100 kbp	168.61
# mismatches per 100 kbp	40.61
# indels per 100 kbp	3.38
# genomic features	40 + 9 part
Largest alignment	19288
Total aligned length	29654
NA50	19288
NGA50	19288
NA75	7579
NGA75	7579
LA50	1
LGA50	1
LA75	2
LGA75	2
