Assembly	SRR12045928_scaffolds
# contigs (>= 0 bp)	10
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30818
Total length (>= 1000 bp)	29572
Total length (>= 5000 bp)	29572
Total length (>= 10000 bp)	29572
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19278
Total length	29572
Reference length	29903
GC (%)	38.01
Reference GC (%)	37.97
N50	19278
NG50	19278
N75	10294
NG75	10294
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.773
Duplication ratio	1.001
# N's per 100 kbp	169.08
# mismatches per 100 kbp	40.63
# indels per 100 kbp	3.39
# genomic features	44 + 5 part
Largest alignment	19278
Total aligned length	29572
NA50	19278
NGA50	19278
NA75	10294
NGA75	10294
LA50	1
LGA50	1
LA75	2
LGA75	2
