Assembly	Scaffolds
# contigs (>= 0 bp)	44
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	24047
Total length (>= 1000 bp)	12916
Total length (>= 5000 bp)	5531
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	8
Largest contig	5531
Total length	14757
Reference length	29903
GC (%)	39.06
Reference GC (%)	37.97
N50	3390
N75	1323
L50	2
L75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	1
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	47.139
Duplication ratio	1.047
# N's per 100 kbp	0.00
# mismatches per 100 kbp	28.38
# indels per 100 kbp	7.09
# genomic features	16 + 21 part
Largest alignment	5531
Total aligned length	14746
NA50	3389
NGA50	-
NA75	1323
LA50	2
LA75	4
