Assembly	Scaffolds
# contigs (>= 0 bp)	19
# contigs (>= 1000 bp)	15
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29488
Total length (>= 1000 bp)	27827
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	17
Largest contig	3156
Total length	29189
Reference length	29903
GC (%)	37.87
Reference GC (%)	37.97
N50	2061
NG50	1927
N75	1558
NG75	1558
L50	6
LG50	7
L75	11
LG75	11
# misassemblies	2
# misassembled contigs	2
Misassembled contigs length	3753
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	90.860
Duplication ratio	1.074
# N's per 100 kbp	0.00
# mismatches per 100 kbp	44.17
# indels per 100 kbp	11.04
# genomic features	24 + 21 part
Largest alignment	3156
Total aligned length	29102
NA50	1662
NGA50	1662
NA75	1506
NGA75	1324
LA50	7
LGA50	7
LA75	11
LGA75	12
