Assembly	SRR11622192_scaffolds
# contigs (>= 0 bp)	17
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30674
Total length (>= 1000 bp)	25220
Total length (>= 5000 bp)	8411
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	13
Largest contig	8411
Total length	29144
Reference length	29903
GC (%)	38.12
Reference GC (%)	37.97
N50	3126
NG50	3126
N75	2064
NG75	1895
L50	3
LG50	3
L75	6
LG75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	2
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	94.947
Duplication ratio	1.026
# N's per 100 kbp	850.95
# mismatches per 100 kbp	35.22
# indels per 100 kbp	0.00
# genomic features	32 + 13 part
Largest alignment	8361
Total aligned length	28896
NA50	3126
NGA50	2772
NA75	2064
NGA75	1697
LA50	3
LGA50	4
LA75	6
LGA75	7
