Assembly	Scaffolds
# contigs (>= 0 bp)	8
# contigs (>= 1000 bp)	7
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28898
Total length (>= 1000 bp)	28491
Total length (>= 5000 bp)	17852
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	6708
Total length	28491
Reference length	29903
GC (%)	37.80
Reference GC (%)	37.97
N50	5553
NG50	5553
N75	4739
NG75	4739
L50	3
LG50	3
L75	4
LG75	4
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	86.145
Duplication ratio	1.106
# N's per 100 kbp	0.00
# mismatches per 100 kbp	34.94
# indels per 100 kbp	0.00
# genomic features	36 + 13 part
Largest alignment	6708
Total aligned length	28491
NA50	5553
NGA50	5553
NA75	4739
NGA75	4739
LA50	3
LGA50	3
LA75	4
LGA75	4
