Assembly	Scaffolds
# contigs (>= 0 bp)	5
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	24725
Total length (>= 1000 bp)	24591
Total length (>= 5000 bp)	15631
Total length (>= 10000 bp)	15631
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	4
Largest contig	15631
Total length	24591
Reference length	29903
GC (%)	38.38
Reference GC (%)	37.97
N50	15631
NG50	15631
N75	4516
NG75	2380
L50	1
LG50	1
L75	2
LG75	3
# misassemblies	1
# misassembled contigs	1
Misassembled contigs length	2380
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	79.283
Duplication ratio	1.037
# N's per 100 kbp	0.00
# mismatches per 100 kbp	33.74
# indels per 100 kbp	8.44
# genomic features	32 + 13 part
Largest alignment	15631
Total aligned length	24586
NA50	15631
NGA50	15631
NA75	4516
NGA75	2060
LA50	1
LGA50	1
LA75	2
LGA75	4
