Assembly	SRR12161819_scaffolds
# contigs (>= 0 bp)	93
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33090
Total length (>= 1000 bp)	1192
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	18
Largest contig	1192
Total length	12930
Reference length	29903
GC (%)	37.80
Reference GC (%)	37.97
N50	654
N75	609
L50	8
L75	13
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	42.935
Duplication ratio	1.007
# N's per 100 kbp	0.00
# mismatches per 100 kbp	31.16
# indels per 100 kbp	7.79
# genomic features	8 + 21 part
Largest alignment	1192
Total aligned length	12930
NA50	654
NGA50	-
NA75	609
LA50	8
LA75	13
