Assembly	SRR11676287_scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29751
Total length (>= 1000 bp)	29614
Total length (>= 5000 bp)	29614
Total length (>= 10000 bp)	29614
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	19307
Total length	29614
Reference length	29903
GC (%)	38.03
Reference GC (%)	37.97
N50	19307
NG50	19307
N75	10307
NG75	10307
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	98.846
Duplication ratio	1.002
# N's per 100 kbp	168.84
# mismatches per 100 kbp	13.53
# indels per 100 kbp	3.38
# genomic features	44 + 5 part
Largest alignment	19307
Total aligned length	29614
NA50	19307
NGA50	19307
NA75	10307
NGA75	10307
LA50	1
LGA50	1
LA75	2
LGA75	2
