Assembly	SRR11828424_scaffolds
# contigs (>= 0 bp)	28
# contigs (>= 1000 bp)	6
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	17116
Total length (>= 1000 bp)	8092
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	10
Largest contig	2172
Total length	11067
Reference length	29903
GC (%)	39.17
Reference GC (%)	37.97
N50	1270
N75	998
L50	4
L75	7
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	36.822
Duplication ratio	1.005
# N's per 100 kbp	0.00
# mismatches per 100 kbp	18.16
# indels per 100 kbp	0.00
# genomic features	4 + 29 part
Largest alignment	2172
Total aligned length	11067
NA50	1270
NGA50	-
NA75	998
LA50	4
LA75	7
