Assembly	SRR11578388_scaffolds
# contigs (>= 0 bp)	72
# contigs (>= 1000 bp)	5
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	33072
Total length (>= 1000 bp)	7325
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	21
Largest contig	1920
Total length	18750
Reference length	29903
GC (%)	38.47
Reference GC (%)	37.97
N50	898
NG50	679
N75	698
L50	8
LG50	15
L75	14
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	61.144
Duplication ratio	1.025
# N's per 100 kbp	208.00
# mismatches per 100 kbp	5.47
# indels per 100 kbp	16.41
# genomic features	4 + 21 part
Largest alignment	1920
Total aligned length	18749
NA50	898
NGA50	679
NA75	698
LA50	8
LGA50	15
LA75	14
