Assembly	Scaffolds
# contigs (>= 0 bp)	6
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29869
Total length (>= 1000 bp)	29220
Total length (>= 5000 bp)	27744
Total length (>= 10000 bp)	19096
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19096
Total length	29220
Reference length	29903
GC (%)	37.90
Reference GC (%)	37.97
N50	19096
NG50	19096
N75	8648
NG75	8648
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	97.331
Duplication ratio	1.004
# N's per 100 kbp	0.00
# mismatches per 100 kbp	17.18
# indels per 100 kbp	13.74
# genomic features	36 + 9 part
Largest alignment	19096
Total aligned length	29220
NA50	19096
NGA50	19096
NA75	8648
NGA75	8648
LA50	1
LGA50	1
LA75	2
LGA75	2
