Assembly	Scaffolds
# contigs (>= 0 bp)	13
# contigs (>= 1000 bp)	11
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32755
Total length (>= 1000 bp)	31832
Total length (>= 5000 bp)	7021
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	12
Largest contig	7021
Total length	32432
Reference length	29903
GC (%)	38.15
Reference GC (%)	37.97
N50	3440
NG50	3440
N75	3192
NG75	3192
L50	4
LG50	4
L75	6
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	2
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	92.486
Duplication ratio	1.173
# N's per 100 kbp	317.59
# mismatches per 100 kbp	47.01
# indels per 100 kbp	0.00
# genomic features	20 + 29 part
Largest alignment	6519
Total aligned length	31735
NA50	3271
NGA50	3271
NA75	2340
NGA75	3192
LA50	4
LGA50	4
LA75	7
LGA75	6
