Assembly	Scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	3
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	24351
Total length (>= 1000 bp)	24351
Total length (>= 5000 bp)	24351
Total length (>= 10000 bp)	11267
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	11267
Total length	24351
Reference length	29903
GC (%)	38.50
Reference GC (%)	37.97
N50	7356
NG50	7356
N75	7356
NG75	5728
L50	2
LG50	2
L75	2
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	81.366
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	61.65
# indels per 100 kbp	4.11
# genomic features	36 + 13 part
Largest alignment	11267
Total aligned length	24332
NA50	7337
NGA50	7337
NA75	7337
NGA75	5728
LA50	2
LGA50	2
LA75	2
LGA75	3
