Assembly	Scaffolds
# contigs (>= 0 bp)	2
# contigs (>= 1000 bp)	2
# contigs (>= 5000 bp)	1
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	1
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	32111
Total length (>= 1000 bp)	32111
Total length (>= 5000 bp)	28072
Total length (>= 10000 bp)	28072
Total length (>= 25000 bp)	28072
Total length (>= 50000 bp)	0
# contigs	2
Largest contig	28072
Total length	32111
Reference length	29903
GC (%)	38.05
Reference GC (%)	37.97
N50	28072
NG50	28072
N75	28072
NG75	28072
L50	1
LG50	1
L75	1
LG75	1
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.829
Duplication ratio	1.076
# N's per 100 kbp	0.00
# mismatches per 100 kbp	16.75
# indels per 100 kbp	0.00
# genomic features	40 + 9 part
Largest alignment	28072
Total aligned length	31993
NA50	28072
NGA50	28072
NA75	28072
NGA75	28072
LA50	1
LGA50	1
LA75	1
LGA75	1
