Assembly	Scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	2
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29837
Total length (>= 1000 bp)	29837
Total length (>= 5000 bp)	27401
Total length (>= 10000 bp)	27401
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	14551
Total length	29837
Reference length	29903
GC (%)	37.99
Reference GC (%)	37.97
N50	12850
NG50	12850
N75	12850
NG75	12850
L50	2
LG50	2
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	99.696
Duplication ratio	1.001
# N's per 100 kbp	0.00
# mismatches per 100 kbp	40.25
# indels per 100 kbp	6.71
# genomic features	44 + 5 part
Largest alignment	14551
Total aligned length	29837
NA50	12850
NGA50	12850
NA75	12850
NGA75	12850
LA50	2
LGA50	2
LA75	2
LGA75	2
