Assembly	Scaffolds
# contigs (>= 0 bp)	3
# contigs (>= 1000 bp)	3
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	28492
Total length (>= 1000 bp)	28492
Total length (>= 5000 bp)	26945
Total length (>= 10000 bp)	19055
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	3
Largest contig	19055
Total length	28492
Reference length	29903
GC (%)	37.87
Reference GC (%)	37.97
N50	19055
NG50	19055
N75	7890
NG75	7890
L50	1
LG50	1
L75	2
LG75	2
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	91.275
Duplication ratio	1.044
# N's per 100 kbp	0.00
# mismatches per 100 kbp	21.98
# indels per 100 kbp	0.00
# genomic features	8 + 17 part
Largest alignment	19055
Total aligned length	28374
NA50	19055
NGA50	19055
NA75	7772
NGA75	7772
LA50	1
LGA50	1
LA75	2
LGA75	2
