Assembly	SRR11622158_scaffolds
# contigs (>= 0 bp)	48
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	31871
Total length (>= 1000 bp)	11111
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	24
Largest contig	2055
Total length	23181
Reference length	29903
GC (%)	38.07
Reference GC (%)	37.97
N50	997
NG50	956
N75	677
NG75	635
L50	9
LG50	12
L75	16
LG75	23
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	75.792
Duplication ratio	1.023
# N's per 100 kbp	0.00
# mismatches per 100 kbp	26.47
# indels per 100 kbp	0.00
# genomic features	24 + 21 part
Largest alignment	2055
Total aligned length	23181
NA50	997
NGA50	956
NA75	677
NGA75	635
LA50	9
LGA50	12
LA75	16
LGA75	23
