Assembly	scaffolds
# contigs (>= 0 bp)	9
# contigs (>= 1000 bp)	4
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	1
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	29853
Total length (>= 1000 bp)	28262
Total length (>= 5000 bp)	21649
Total length (>= 10000 bp)	15647
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	5
Largest contig	15647
Total length	28928
Reference length	29903
GC (%)	37.84
Reference GC (%)	37.97
N50	15647
NG50	15647
N75	4148
NG75	4148
L50	1
LG50	1
L75	3
LG75	3
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	95.345
Duplication ratio	1.015
# N's per 100 kbp	0.00
# mismatches per 100 kbp	38.58
# indels per 100 kbp	0.00
# genomic features	32 + 17 part
Largest alignment	15592
Total aligned length	28620
NA50	15592
NGA50	15592
NA75	4102
NGA75	4102
LA50	1
LGA50	1
LA75	3
LGA75	3
