Assembly	SRR11597182_scaffolds
# contigs (>= 0 bp)	1045
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	183948
Total length (>= 1000 bp)	1198
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	6
Largest contig	1198
Total length	4086
Reference length	29903
GC (%)	36.72
Reference GC (%)	37.97
N50	594
N75	556
L50	3
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	6
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	8.762
Duplication ratio	1.560
# N's per 100 kbp	39280.47
# mismatches per 100 kbp	0.00
# indels per 100 kbp	114.50
# genomic features	0 + 17 part
Largest alignment	623
Total aligned length	2632
NA50	483
NGA50	-
LA50	4
