Assembly	Scaffolds
# contigs (>= 0 bp)	16
# contigs (>= 1000 bp)	8
# contigs (>= 5000 bp)	2
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	30350
Total length (>= 1000 bp)	26803
Total length (>= 5000 bp)	11328
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	11
Largest contig	5999
Total length	28589
Reference length	29903
GC (%)	38.08
Reference GC (%)	37.97
N50	3715
NG50	3715
N75	2315
NG75	2315
L50	3
LG50	3
L75	6
LG75	6
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	0 + 0 part
Unaligned length	0
Genome fraction (%)	89.121
Duplication ratio	1.073
# N's per 100 kbp	0.00
# mismatches per 100 kbp	37.52
# indels per 100 kbp	11.26
# genomic features	32 + 17 part
Largest alignment	5999
Total aligned length	28423
NA50	3715
NGA50	3715
NA75	2295
NGA75	2295
LA50	3
LGA50	3
LA75	6
LGA75	6
