Assembly	SRR11828432_scaffolds
# contigs (>= 0 bp)	35
# contigs (>= 1000 bp)	1
# contigs (>= 5000 bp)	0
# contigs (>= 10000 bp)	0
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	14113
Total length (>= 1000 bp)	1107
Total length (>= 5000 bp)	0
Total length (>= 10000 bp)	0
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	7
Largest contig	1107
Total length	5297
Reference length	29903
GC (%)	45.72
Reference GC (%)	37.97
N50	701
N75	667
L50	3
L75	5
# misassemblies	0
# misassembled contigs	0
Misassembled contigs length	0
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# unaligned contigs	3 + 0 part
Unaligned length	2297
Genome fraction (%)	10.032
Duplication ratio	1.000
# N's per 100 kbp	0.00
# mismatches per 100 kbp	66.67
# indels per 100 kbp	0.00
# genomic features	0 + 9 part
Largest alignment	951
Total aligned length	3000
NA50	667
NGA50	-
LA50	4
